# THE REPORTS THE NBS PROGRAMS REQUIRE, and the ones whose verdict line
# cannot be read by a grep. Read by basic/ladder.sh.
#
#   NAME | KIND | TEXT | TEXT ...
#
# Every TEXT must appear in the transcript (a fixed string). A program
# that stops on an exception or reports one has no other way to say so:
# its own verdict lines are the same whether the report was there or not.
#
# KIND `also`: the program's own TEST FAILED lines still count.
# KIND `judged`: they do not. The verdict is prose a reader resolves ("IF
# SO, TEST PASSED, OTHERWISE TEST FAILED") and holds both words whatever
# happens, so only the TEXT decides. A judged row with no TEXT is a
# program whose exception cannot occur in an F64.
#
# KIND `rejects`: an ERROR program, malformed on purpose, which ECMA-55
# refuses before its first statement. The TEXT is the rejection; nothing
# else is in the transcript.
# KIND `accepts`: an ERROR program this interpreter runs on purpose, which
# ECMA-55 allows when the processor documents it. The documentation is
# basic/README.md's "Accepted past ECMA-55".
# An ERROR program with no row is UNJUDGED, whatever it prints.
# KIND `reader`: a program whose only verdict is a reader comparing lines
# ("IF ALL THE ABOVE PAIRS ARE IDENTICAL, THEN TEST PASSED"), printed
# whatever the lines say. It is UNJUDGED however it runs.
#
# The requirement comes from the listing's TO PASS THIS TEST section, not
# from what this interpreter prints.
P001 | reader |
P002 | reader |
P003 | rejects | *** REJECTED: END is not the last line
P004 | rejects | *** REJECTED: The last line is not END
P006 | reader |
P008 | also | ?TAB argument less than one
P009 | reader |
P010 | reader |
P011 | reader |
P012 | reader |
P013 | reader |
P014 | reader |
P015 | reader |
P016 | rejects | *** REJECTED: A jump to a line that does not exist
P020 | rejects | *** REJECTED: A string compared with a number
P021 | rejects | *** REJECTED: A jump to a line that does not exist
P028 | also | ?Division by zero
P029 | judged | ?Overflow
P030 | judged | ?Overflow
P031 | also | ?Zero raised to a negative power
P032 | also | *** HALTED: Negative number raised to a non-integral power
P035 | judged | ?Overflow
P036 | rejects | *** REJECTED: An unmatched parenthesis
P037 | rejects | *** REJECTED: The ** operator
P038 | accepts |
P050 | rejects | *** REJECTED: A FOR without a NEXT
P051 | rejects | *** REJECTED: A NEXT without a FOR
P052 | rejects | *** REJECTED: A NEXT that does not match its FOR
P053 | rejects | *** REJECTED: A NEXT that does not match its FOR
P054 | rejects | *** REJECTED: A FOR inside a FOR with the same variable
P055 | rejects | *** REJECTED: A jump into a FOR block
P063 | also | *** HALTED: Subscript out of range
P064 | also | *** HALTED: Subscript out of range
P065 | also | *** HALTED: Subscript out of range
P066 | also | *** HALTED: Subscript out of range
P067 | also | *** HALTED: Subscript out of range
P068 | also | *** HALTED: Subscript out of range
P069 | also | *** HALTED: Subscript out of range
P070 | also | *** HALTED: Subscript out of range
P071 | also | *** HALTED: Subscript out of range
P072 | also | *** HALTED: Subscript out of range
P073 | rejects | *** REJECTED: A DIM bound below OPTION BASE
P074 | rejects | *** REJECTED: An array used with different numbers of subscripts
P075 | rejects | *** REJECTED: A name used for both an array and a simple variable
P076 | rejects | *** REJECTED: An array used with different numbers of subscripts
P077 | rejects | *** REJECTED: A name used for both an array and a simple variable
P078 | rejects | *** REJECTED: An array used with different numbers of subscripts
P079 | rejects | *** REJECTED: An array name that is not a single letter
P080 | rejects | *** REJECTED: OPTION BASE twice
P081 | rejects | *** REJECTED: OPTION BASE after a DIM
P082 | rejects | *** REJECTED: OPTION BASE after an array is used
P083 | rejects | *** REJECTED: An array used before its DIM
P084 | rejects | *** REJECTED: An array dimensioned twice
P086 | also | *** HALTED: RETURN without GOSUB
P087 | rejects | *** REJECTED: A jump to a line that does not exist
P089 | also | *** HALTED: ON index out of range
P090 | also | *** HALTED: ON index out of range
P091 | rejects | *** REJECTED: A jump to a line that does not exist
P097 | also | *** HALTED: Out of DATA
P101 | judged | ?Overflow
P102 | rejects | *** REJECTED: A character not allowed in an unquoted datum
P103 | rejects | *** REJECTED: Text after a quoted datum
P104 | rejects | *** REJECTED: Text after a quoted datum
P105 | rejects | *** REJECTED: An empty datum in DATA
P106 | rejects | *** REJECTED: An empty entry in the READ list
P113 | rejects | *** REJECTED: An empty entry in the INPUT list
P118 | also | *** HALTED: SQR of a negative number
P122 | judged | ?Overflow
P125 | also | *** HALTED: LOG of a number that is not positive
P126 | also | *** HALTED: LOG of a number that is not positive
P129 | judged |
P143 | rejects | *** REJECTED: SIN given the wrong number of arguments
P144 | rejects | *** REJECTED: ATN given the wrong number of arguments
P145 | rejects | *** REJECTED: RND given the wrong number of arguments
P146 | rejects | *** REJECTED: RND given the wrong number of arguments
P147 | rejects | *** REJECTED: INT given the wrong number of arguments
P148 | rejects | *** REJECTED: TAN given the wrong number of arguments
P149 | rejects | *** REJECTED: RND given the wrong number of arguments
P150 | rejects | *** REJECTED: A string where a number is expected
P153 | rejects | *** REJECTED: FNP given the wrong number of arguments
P154 | rejects | *** REJECTED: FND given the wrong number of arguments
P155 | rejects | *** REJECTED: FNP given the wrong number of arguments
P156 | rejects | *** REJECTED: FNA given the wrong number of arguments
P157 | rejects | *** REJECTED: A DEF with more than one parameter
P158 | rejects | *** REJECTED: A string where a number is expected
P159 | rejects | *** REJECTED: A DEF whose parameter is a string
P160 | rejects | *** REJECTED: A function defined twice
P161 | rejects | *** REJECTED: A function that refers to itself
P162 | rejects | *** REJECTED: A function used before its DEF
P163 | rejects | *** REJECTED: A function with no DEF
P165 | reader |
P167 | also | ?Division by zero | ?Zero raised to a negative power
P168 | also | ?Overflow | *** HALTED: Subscript out of range
P170 | also | *** HALTED: Negative number raised to a non-integral power
P171 | also | *** HALTED: LOG of a number that is not positive
P172 | also | *** HALTED: SQR of a negative number
P173 | also | *** HALTED: Negative number raised to a non-integral power
P174 | also | ?Overflow | ?Division by zero | ?Zero raised to a negative power
P176 | also | *** HALTED: Negative number raised to a non-integral power
P177 | also | ?Overflow | ?Zero raised to a negative power
P179 | also | *** HALTED: LOG of a number that is not positive
P180 | also | ?Division by zero | *** HALTED: ON index out of range
P181 | also | *** HALTED: ON index out of range
P182 | also | *** HALTED: Negative number raised to a non-integral power
P183 | also | ?Division by zero
P185 | rejects | *** REJECTED: A statement with no keyword
P187 | accepts |
P188 | rejects | *** REJECTED: A space inside a line number
P189 | rejects | *** REJECTED: A statement with no keyword
P190 | accepts |
P191 | rejects | *** REJECTED: A keyword run together with the word after it
P192 | rejects | *** REJECTED: Text after a PRINT item
P193 | rejects | *** REJECTED: Two PRINT items with nothing between them
P194 | rejects | *** REJECTED: Text after the end of a statement
P195 | rejects | *** REJECTED: Text after the end of a statement
P197 | rejects | *** REJECTED: A line number used twice
P198 | rejects | *** REJECTED: A line number out of order
P199 | rejects | *** REJECTED: A line number longer than four digits
P200 | rejects | *** REJECTED: Line number 0
P201 | rejects | *** REJECTED: A line has no line number
P202 | rejects | *** REJECTED: A line longer than 72 characters
P203 | reader |
P204 | accepts |
P205 | accepts |
P206 | accepts |
P207 | rejects | *** REJECTED: A string where a number is expected
P208 | rejects | *** REJECTED: A number where a string is expected
