  29 lines    856 bytes  after start
  28 lines    841 bytes  after dropping line 1
  27 lines    840 bytes  after dropping line 1
  26 lines    798 bytes  after dropping line 2
  25 lines    797 bytes  after dropping line 3
  24 lines    778 bytes  after dropping line 3
  23 lines    777 bytes  after dropping line 4
  22 lines    740 bytes  after dropping line 4
  21 lines    739 bytes  after dropping line 5
  20 lines    706 bytes  after dropping line 5
  19 lines    705 bytes  after dropping line 6
  18 lines    653 bytes  after dropping line 6
  17 lines    652 bytes  after dropping line 7
